ticker,category,price,trend,narrative
Fo_6,Forex,45493.07,BREAKOUT,Momentum Shift: Fo_6 exhibiting 6.3x volume vs 30d avg.
Fo_7,Forex,49133.11,BREAKOUT,Momentum Shift: Fo_7 exhibiting 1.8x volume vs 30d avg.
Fo_8,Forex,10950.93,BREAKOUT,Momentum Shift: Fo_8 exhibiting 2.8x volume vs 30d avg.
Fo_9,Forex,1392.15,STABLE,Market conditions within normal liquidity variance.
Fo_10,Forex,59953.0,BREAKOUT,Momentum Shift: Fo_10 exhibiting 2.2x volume vs 30d avg.
Fo_11,Forex,35860.04,STABLE,Market conditions within normal liquidity variance.
Fo_12,Forex,20885.55,BREAKOUT,Momentum Shift: Fo_12 exhibiting 11.5x volume vs 30d avg.
Fo_13,Forex,58798.91,STABLE,Market conditions within normal liquidity variance.
Fo_14,Forex,31471.96,STABLE,Market conditions within normal liquidity variance.
Fo_15,Forex,22412.09,BREAKOUT,Momentum Shift: Fo_15 exhibiting 14.4x volume vs 30d avg.
